,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
181,2014,Toyota,49959,4.5,79,24349,27915,Rochester,NY
182,2011,BMW,81473,5.0,8,17900,21520,Endicott,NY
183,2004,Suzuki,89287,4.5,22,3688,5955,North Tonawanda,NY
184,2009,Subaru,123475,5.0,91,5995,8218,Montour Falls,NY
185,2013,GMC,13620,4.5,113,25995,29239,Painted Post,NY
186,2014,Ram,8316,4.5,70,25695,29399,Rochester,NY
187,2011,Chevrolet,51100,4.5,54,10995,13620,Endicott,NY
188,2014,Dodge,20945,4.5,1,11498,13512,Medina,NY
189,2009,Mercedes-Benz,75867,3.0,126,14983,18189,Oakfield,NY
190,2012,Jeep,60724,4.5,64,17995,21118,Syracuse,NY
191,2005,Jeep,151000,5.0,19,7500,10585,Rochester,NY
192,2011,Jeep,86054,3.0,59,15398,18829,Oakfield,NY
193,2014,Subaru,25821,5.0,53,19990,22247,Syracuse,NY
194,2012,Honda,54530,4.0,24,14979,17351,Bergen,NY
195,2015,Honda,11485,5.0,106,21995,24034,Elmira,NY
196,2012,GMC,38945,5.0,60,24141,28092,Elmira,NY
197,2013,Cadillac,20797,4.5,132,24920,27617,Williamsville,NY
198,2014,Ford,14169,4.0,218,26495,30118,Farmington,NY
199,2014,Chevrolet,36170,4.5,90,21695,24617,Painted Post,NY
200,2010,Dodge,107545,3.5,30,7495,10292,North Syracuse,NY
201,2016,Chevrolet,21195,4.5,17,22000,25576,Williamson,NY
202,2008,Ford,110657,4.0,9,6000,8375,Wolcott,NY
203,2014,Ford,30020,4.0,66,13998,16734,Medina,NY
204,2013,Chevrolet,72586,5.0,73,9995,12304,Buffalo,NY
205,2016,Toyota,5302,4.5,1,14500,16705,Webster,NY
206,1995,Chevrolet,60735,5.0,14,7900,12128,Syracuse,NY
207,2013,Toyota,21550,5.0,17,14495,17094,Ithaca,NY
208,2014,Ford,76085,3.0,126,11339,14692,Oakfield,NY
209,2013,Chevrolet,35576,3.0,38,11557,14184,Oakfield,NY
210,2010,Dodge,165104,4.0,153,9995,14377,Attica,NY
211,2007,BMW,131685,4.5,18,7280,9648,North Tonawanda,NY
212,2013,Nissan,46645,4.5,58,22991,26661,Ontario,NY
213,2012,Subaru,98328,5.0,8,11900,14269,Endicott,NY
214,2012,Ford,47365,5.0,18,12995,15457,Sayre,PA
215,2013,Hyundai,43397,4.0,129,16995,20257,Central Square,NY
216,2015,Chevrolet,10170,4.5,76,13899,17392,Syracuse,NY
217,2014,Cadillac,13056,5.0,65,18888,21824,Lockport,NY
218,2014,Buick,44271,5.0,32,28953,32116,Le Roy,NY
219,2004,Audi,126000,5.0,16,4100,6379,Syracuse,NY
220,2012,Buick,57925,4.5,37,11000,13571,Great Valley,NY
221,2011,Ford,83781,5.0,39,9995,12278,Sayre,PA
222,2013,Ford,81003,3.5,184,17500,21198,Williamsville,NY
223,2006,Hummer,117353,4.5,59,10280,12976,North Tonawanda,NY
224,2014,Toyota,77260,4.0,157,25000,29003,Wolcott,NY
225,2008,Nissan,173200,4.0,19,9500,12187,Spencerport,NY
226,2013,Honda,54298,4.0,127,10999,12885,Wolcott,NY
227,2014,Ford,86943,3.0,90,15900,18901,Wolcott,NY
228,2014,Buick,23817,4.5,45,15991,18083,Medina,NY
229,2010,Honda,120478,3.0,39,9999,12515,Buffalo,NY
230,2011,Chrysler,43642,5.0,72,9995,12378,Sayre,PA
231,2013,Nissan,16721,3.0,54,11999,14775,Buffalo,NY
232,2009,Hyundai,92225,4.5,65,8600,10690,Rome,NY
233,2012,Fiat,37851,5.0,1,6995,9190,Avon,NY
234,2009,Honda,72493,3.0,8,9995,12716,Rochester,NY
235,2013,BMW,40243,4.0,67,27940,31586,Rochester,NY
236,2014,Mazda,47767,3.0,22,19999,22555,Buffalo,NY
237,2010,Toyota,53561,5.0,47,9995,12302,Fairport,NY
238,2007,Subaru,91450,4.5,275,8950,11481,Hamburg,NY
239,2010,Dodge,71818,3.5,25,15995,20640,Geneva,NY
240,2006,Ford,261000,5.0,1,3000,6203,Buffalo,NY
241,2008,Nissan,133319,5.0,45,12900,15847,Spencerport,NY
242,2012,Dodge,94129,5.0,57,19795,23321,Olean,NY
243,2011,Lincoln,98000,5.0,166,21500,26810,Manlius,NY
244,2011,Toyota,61575,4.5,158,15300,17978,Rome,NY
245,2016,Dodge,1600,5.0,15,59999,65052,Buffalo,NY
246,2011,Porsche,27428,5.0,13,79980,97939,Buffalo,NY
247,2005,Chevrolet,108415,4.0,1,10999,14529,Horseheads,NY
248,2014,Kia,41060,4.5,6,9600,11931,Webster,NY
249,2013,Chevrolet,47028,5.0,73,9995,12161,Buffalo,NY
250,2012,Toyota,31679,5.0,12,12995,15153,Fairport,NY
251,2011,Chevrolet,97496,4.0,35,20597,24046,Williamsville,NY
252,2013,Ford,56350,4.0,63,19985,23117,Oswego,NY
253,2013,Chevrolet,34558,4.5,35,10999,13131,Medina,NY
254,2013,Toyota,25879,4.0,114,19891,22681,Buffalo,NY
255,2011,Hyundai,81536,4.0,29,9232,11591,Spencerport,NY
256,2009,Dodge,104694,3.5,45,9950,13483,Mansfield,PA
257,2008,Ford,96644,4.5,144,6995,9115,East Syracuse,NY
258,2014,Chevrolet,41019,4.5,13,10491,12479,Medina,NY
259,2011,Hyundai,61668,3.0,115,12363,14934,Oakfield,NY
260,2014,Honda,17986,4.5,59,21917,24236,Getzville,NY
261,2014,Chevrolet,42440,4.0,31,20500,23221,Farmington,NY
262,2008,Hyundai,110752,2.5,364,6995,9703,Central Square,NY
263,2013,Chevrolet,34074,4.5,42,13992,16254,Medina,NY
264,2013,Chevrolet,43339,4.5,172,20999,24289,Phoenix,NY
265,2013,GMC,20451,4.0,24,27900,30901,Farmington,NY
266,2012,Mitsubishi,71047,3.5,1,6995,9969,Bridgeport,NY
267,2015,Chevrolet,26708,3.5,170,24000,26975,KENMORE,NY
268,2010,Ford,41486,4.5,105,25712,28927,Carthage,NY
269,2012,Chevrolet,60000,5.0,12,9200,11254,Newark,NY
270,2003,Chevrolet,159600,5.0,22,5995,9614,Rome,NY
271,2008,Subaru,106000,4.0,77,5995,8393,Webster,NY
272,2012,Infiniti,35258,4.5,3,20863,24030,Rochester,NY
273,2005,GMC,92000,4.5,16,7900,11038,Rome,NY
274,2015,Cadillac,15247,5.0,56,36158,40352,Auburn,NY
275,2010,Ford,98000,4.0,16,5999,8323,Spencerport,NY
276,2003,Chevrolet,100605,5.0,79,6999,10638,Syracuse,NY
277,2012,Volvo,43802,4.0,52,18888,21816,Farmington,NY
278,2010,Ford,71579,4.5,16,22000,25043,Rome,NY
279,2007,Kia,83531,4.0,13,6983,9548,Orchard Park,NY
280,2014,Kia,46225,4.0,220,15285,18053,Oswego,NY
281,2008,Subaru,115444,5.0,35,5495,7730,Hilton,NY
282,2016,GMC,11401,4.5,45,35970,39864,Williamson,NY
283,2013,Nissan,22449,3.0,43,13999,16838,Buffalo,NY
284,2009,BMW,79000,5.0,9,13799,16839,Syracuse,NY
285,2006,Subaru,132000,5.0,7,4495,6712,Central Square,NY
286,2011,GMC,34107,3.0,5,28860,32471,Watertown,NY
287,2014,Honda,20618,4.5,77,18920,20963,Rochester,NY
288,2013,Ford,24575,3.5,88,12995,15627,Williamsville,NY
289,2012,Nissan,45317,3.5,167,17490,20585,Rochester,NY
290,2014,Ford,13506,4.5,16,26913,30236,Williamsville,NY
291,2009,Acura,102273,5.0,37,9995,12124,Fairport,NY
292,2011,BMW,39000,5.0,23,17500,20154,Buffalo,NY
293,2012,Nissan,57289,4.0,59,10985,13451,Oswego,NY
294,2016,Jeep,14600,5.0,1,22995,25976,Fayetteville,NY
295,2013,Chevrolet,42087,5.0,50,12995,15167,Medina,NY
296,2008,Chevrolet,6995,3.0,9,6995,9950,Rochester,NY
297,2015,Mercedes-Benz,33909,4.0,57,29933,35315,Rochester,NY
298,2012,Ford,101338,4.0,157,5999,8298,Wolcott,NY
299,2008,Dodge,62741,5.0,22,5695,8043,Syracuse,NY
300,2013,Ram,83431,4.0,99,16995,20262,West Seneca,NY
301,2013,Chevrolet,66507,3.0,126,26493,31001,Oakfield,NY
302,2011,Kia,29250,4.0,43,11900,14588,Henrietta,NY
303,2013,Volvo,15675,4.0,29,27988,32404,Pulaski,NY
304,2008,Jeep,52118,5.0,9,8000,10427,Syracuse,NY
305,2007,Chevrolet,98569,5.0,2,6995,9221,Medina,NY
306,2008,Jeep,98113,4.0,81,9995,12362,Lancaster,NY
307,2013,Buick,32893,4.0,118,11995,13978,West Seneca,NY
308,2009,Ford,91519,4.5,38,4495,6730,Rochester,NY
309,2013,Hyundai,42232,4.0,29,10942,13106,Orchard Park,NY
310,2013,Lexus,40952,4.5,84,24695,27750,Rochester,NY
311,2011,Honda,71301,5.0,107,10000,12272,Victor,NY
312,2013,Chevrolet,72470,3.0,126,11982,14635,Oakfield,NY
313,2014,Cadillac,27926,4.5,64,17427,20209,Getzville,NY
314,2009,Chevrolet,84233,2.5,29,4495,7308,Central Square,NY
315,2011,Chevrolet,78065,4.0,79,23977,27293,Williamsville,NY
316,2001,Ford,14400,5.0,28,8500,11222,Manlius,NY
317,2010,Subaru,168000,4.0,15,6995,9718,Webster,NY
318,2013,Lincoln,73743,5.0,95,18500,21811,Sayre,PA
319,2010,Infiniti,44128,5.0,207,15500,18140,Syracuse,NY
320,2013,Ford,65109,4.0,35,13995,16707,West Seneca,NY
321,2008,Honda,134927,2.5,8,7995,10506,Central Square,NY
322,2013,Hyundai,45210,5.0,18,10995,12821,Elmira,NY
323,2015,Lincoln,24430,3.0,45,26995,32056,Auburn,NY
324,2009,Toyota,97400,4.5,45,11495,14236,Endicott,NY
325,2011,Kia,53486,3.5,16,11773,14177,Williamsville,NY
326,2013,Cadillac,45667,5.0,31,17995,20771,West Seneca,NY
327,2013,Honda,45000,5.0,16,13500,15510,Deansboro,NY
328,2012,Nissan,49636,4.0,15,18944,21695,Chittenango,NY
329,2013,Kia,27069,3.5,209,11950,14184,Mansfield,PA
330,2014,Volvo,47698,4.0,116,31757,34128,Syracuse,NY
331,2013,Chevrolet,31698,4.5,56,13293,15742,Medina,NY
332,2003,Toyota,99529,4.0,168,3495,5618,Cicero,NY
333,2012,Hyundai,49373,3.0,82,10999,13855,Buffalo,NY
334,2012,Ford,34731,5.0,2,15995,18506,Cortland,NY
335,2013,Kia,14574,3.5,151,15750,18782,Rochester,NY
336,2013,Nissan,35168,4.5,14,9988,12205,East Syracuse,NY
337,2014,Nissan,6298,3.5,104,12999,15836,Ithaca,NY
338,2013,GMC,38050,4.0,24,15650,17855,Bergen,NY
339,2011,Chevrolet,87700,4.5,1,25995,29883,Oneida,NY
340,2007,Honda,121490,4.0,77,8999,11222,Clinton,NY
341,2011,Chevrolet,99100,4.0,60,6500,8490,Spencerport,NY
342,2008,Jeep,143950,4.5,1,6495,8783,Endicott,NY
343,2014,Chevrolet,31461,5.0,1,9995,11886,Ontario,NY
344,2010,Dodge,84478,4.5,71,10980,14733,North Tonawanda,NY
345,2011,GMC,93000,3.0,225,12900,15534,Lockport,NY
346,2013,Ford,26909,2.5,16,12000,14969,Niagara Falls,NY
347,2011,Dodge,63000,5.0,256,19995,22847,Cortland,NY
348,2012,Ford,52407,4.0,93,11885,14466,Oswego,NY
349,2015,Hyundai,45045,4.5,92,14700,17445,Webster,NY
350,2006,Hyundai,113000,5.0,14,4995,7211,Central Square,NY
351,2010,Honda,55297,4.5,101,10995,13425,Syracuse,NY
352,2014,Ford,22748,3.5,148,25946,29512,Cheektowaga,NY
353,2011,Chevrolet,110061,4.0,72,8599,10703,Williamsville,NY
354,2008,Chrysler,100199,4.0,85,4595,7149,Cicero,NY
355,2011,Buick,28476,4.0,6,20944,23704,Rochester,NY
