,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
1014,2011,Volkswagen,75446,5.0,36,8997,12661,Boonton,NJ
1015,2010,Nissan,122771,4.0,27,8998,12342,Stratford,CT
1016,2014,Toyota,61310,3.5,21,10900,13890,Rahway,NJ
1017,2008,GMC,105000,3.0,18,15995,21356,Naugatuck,CT
1018,2012,Honda,106081,2.5,240,15945,19565,Wallingford,CT
1019,2013,Infiniti,71862,5.0,144,22990,26952,Maple Shade,NJ
1020,2013,Nissan,64900,3.0,55,10995,15462,Naugatuck,CT
1021,2009,Toyota,97500,3.0,13,9995,13197,Naugatuck,CT
1022,2013,Scion,35554,5.0,41,14999,18101,Collegeville,PA
1023,2016,Mazda,10558,4.0,22,19950,22647,NORTH PLAINFIELD,NJ
1024,2011,Honda,72475,5.0,1,7300,9923,Vineland,NJ
1025,2007,Mercedes-Benz,109196,4.5,29,8490,11539,Feasterville Trevose,PA
1026,2008,Chevrolet,149648,5.0,21,10995,15195,Hackettstown,NJ
1027,2013,Nissan,110574,3.5,25,6999,9856,Toms River,NJ
1028,2006,Chevrolet,171803,3.5,66,7500,11720,Paterson,NJ
1029,2010,Nissan,143094,4.5,30,8995,11873,Brooklyn,NY
1030,2013,Nissan,25880,3.0,36,9780,12972,Woodside,NY
1031,2008,BMW,78780,3.0,11,8999,12143,Jersey City,NJ
1032,2014,Ford,23610,4.0,129,18890,22241,Summit,NJ
1033,2013,BMW,51458,2.5,56,22452,28822,Jamaica,NY
1034,2011,Lincoln,118731,5.0,14,8900,12894,Newark,NJ
1035,2015,Mercedes-Benz,29357,4.5,59,41981,47803,Pleasantville,NJ
1036,2008,Jeep,93950,4.0,67,8995,11833,Naugatuck,CT
1037,2011,Nissan,57283,3.0,18,11995,15488,Newark,NJ
1038,2014,Mazda,15762,4.0,37,21983,24828,Hicksville,NY
1039,2005,Chevrolet,197904,5.0,1,3495,6867,Germansville,PA
1040,2013,GMC,61305,4.0,105,27695,31069,Souderton,PA
1041,2011,Chevrolet,60912,4.0,15,7995,10839,Long Island City,NY
1042,2013,Nissan,56104,2.5,78,9452,13574,Jamaica,NY
1043,2015,Ram,20900,3.5,151,20991,28539,Little Ferry,NJ
1044,2010,Mercedes-Benz,79000,3.0,8,13995,18304,Little Neck,NY
1045,2013,Infiniti,50430,3.0,85,17995,22040,Middle Village,NY
1046,2014,Nissan,37674,5.0,163,9495,12164,Brooklyn,NY
1047,2012,Toyota,49540,4.0,124,14999,18371,South Richmond Hill,NY
1048,2013,Lexus,40005,3.5,113,24995,29937,Woodside,NY
1049,2006,Dodge,121168,3.0,106,5490,9137,Linden,NJ
1050,2007,Toyota,110175,5.0,3,5995,8665,Oakland Gardens,NY
1051,2005,Toyota,88723,5.0,67,5995,8493,Levittown,PA
1052,2013,Toyota,19335,4.0,67,16990,19712,Brooklyn,NY
1053,2013,Hyundai,76100,4.0,9,8999,11520,West Babylon,NY
1054,2007,Lexus,134985,3.5,84,7995,11372,Springfield Gardens,NY
1055,2015,Mazda,40823,4.5,20,20995,23649,Waterbury,CT
1056,2015,Jeep,33987,3.0,42,21990,26262,Long Island City,NY
1057,2013,Volkswagen,7100,3.0,15,9495,12703,Naugatuck,CT
1058,2010,Honda,63723,4.0,50,8995,11557,Wallingford,CT
1059,2010,Mercedes-Benz,76987,5.0,13,19995,23750,Bensalem,PA
1060,2013,Audi,65277,2.5,88,29963,36269,Jamaica,NY
1061,2007,BMW,95000,4.0,4,7995,10812,Bronx,NY
1062,2012,Ford,44500,3.0,90,9995,14141,Naugatuck,CT
1063,2014,Subaru,37770,4.0,15,18995,21924,Saint James,NY
1064,2013,Chevrolet,54827,2.5,6,13999,17230,Feasterville-Trevose,PA
1065,2015,Cadillac,11101,4.5,331,29501,35041,Greenwich,CT
1066,2011,Infiniti,78331,4.0,149,16997,20213,Jamaica,NY
1067,2015,Chrysler,38990,3.0,20,9980,13699,Long Island City,NY
1068,2013,Nissan,51503,2.5,99,7999,11452,Brooklyn,NY
1069,2007,Jeep,133771,5.0,1,2800,5817,Paterson,NJ
1070,2013,Chevrolet,86391,3.0,24,11998,14855,Trenton,NJ
1071,2002,Nissan,126000,5.0,7,2300,4573,Neptune,NJ
